timestamp,x,y,p,u,v,r,x_sensor,y_sensor,p_sensor,u_sensor,v_sensor,r_sensor,steering,throttle
1750848844.5212543,290638.37967025914,4117884.429283887,-1.3032274125674668,0.06586052524062232,0.3033826719889366,0.01008598913081651,290638.3838335932,4117884.405702117,-1.3910108002372739,0.06586052524062232,0.34668795662095464,0.010330473072826862,1500.0,1500.0
1750848844.5741212,290638.4107361951,4117884.4255026197,-1.3025866050692525,0.06916562224526647,0.29680145773888533,0.0077539399681779315,290638.4107443228,4117884.416135337,-1.3902530058904141,0.06916562224526647,0.2859040107094701,0.007872588001191616,1500.0,1500.0
1750848844.6686444,290638.44231043104,4117884.4245524523,-1.3022401610218135,0.06872537522344019,0.29225138670554957,0.0034959941567029866,290638.4465332207,4117884.426347556,-1.3896415698384523,0.06872537522344019,0.29781386122166237,0.0034959353506565094,1500.0,1500.0
1750848844.7706687,290638.470593957,4117884.4237331143,-1.3017640854357246,0.06747749709286824,0.2846167367936464,0.004539182988997805,290638.4642895621,4117884.425905553,-1.3889680891146317,0.06747749709286824,0.3399333658429998,0.004517917521297932,1500.0,1500.0
1750848844.8784668,290638.4997677655,4117884.4203908956,-1.3015014395117934,0.0696862983334014,0.27849684085786064,0.0027789039274083807,290638.4995260322,4117884.4139253204,-1.3885282915619703,0.0696862983334014,0.24345767604508894,0.0028011100366711617,1500.0,1500.0
1750848844.9684103,290638.53166503465,4117884.4147958695,-1.3015101818607693,0.07501173160623709,0.27580256862063934,-0.0002946793094797832,290638.5436406709,4117884.401724087,-1.3880218887944324,0.07501173160623709,0.31310281399134104,-0.0002871046890504658,1500.0,1500.0
1750848845.0724068,290638.56227335177,4117884.4074117206,-1.3010239972037079,0.08158144966272025,0.2716406244482138,0.0050005081022579095,290638.56999896816,4117884.3899648576,-1.3875445404711517,0.08158144966272025,0.3731009905571825,0.0050414372235536575,1500.0,1500.0
1750848845.1682634,290638.593694057,4117884.4033935377,-1.300766304504946,0.08342974752633867,0.26964021332350874,0.001255576481806765,290638.6057878682,4117884.400177076,-1.3870475824047825,0.08342974752633867,0.33890724314771736,0.0011625102488324046,1500.0,1500.0
1750848845.2692842,290638.62955222017,4117884.3997580023,-1.3000869520095988,0.08558912527275929,0.2729962360985205,0.005587942291960345,290638.6590568925,4117884.3988510673,-1.3867312401134146,0.08558912527275929,0.3623646622252257,0.005504212807863951,1500.0,1500.0
1750848845.36864,290638.6636935677,4117884.391749045,-1.2997959330486715,0.092408411276594,0.27306188067337606,0.0036212677627675198,290638.68513897527,4117884.3759956122,-1.3869740113205238,0.092408411276594,0.4312164931802638,0.0037066119257360697,1500.0,1500.0
1750848845.471909,290638.7019785753,4117884.3895758176,-1.2998684922673085,0.09216439541576751,0.27901895166317986,-0.0013171200839612437,290638.7389604291,4117884.3968620547,-1.38748674400359,0.09216439541576751,0.3801904056190552,-0.0013644590508192778,1500.0,1500.0
1750848845.5217226,290638.7019785753,4117884.3895758176,-1.2998684922673085,0.09216439541576751,0.27901895166317986,-0.0013171200839612437,290638.7389604291,4117884.3968620547,-1.38748674400359,0.09216439541576751,0.3801904056190552,-0.0013644590508192778,1500.0,1500.0
1750848845.5765367,290638.74013378937,4117884.387780578,-1.3000158623878941,0.09142104045125295,0.2841190383675879,-0.0013709977942834013,290638.77447311423,4117884.3959780494,-1.3881629510332838,0.09142104045125295,0.45791274882424904,-0.0013671481283381581,1500.0,1500.0
1750848845.6683629,290638.7781157533,4117884.386304926,-1.3007637661559708,0.09030872555735184,0.2884129496819585,-0.007338942111444077,290638.80998579937,4117884.3950940436,-1.3889538361218408,0.09030872555735184,0.3728406526827432,-0.007333523593842983,1500.0,1500.0
1750848845.7750401,290638.81397590303,4117884.3802388157,-1.3013828583066636,0.09442266054473071,0.28879039740713663,-0.004348824799568557,290638.8360678825,4117884.3722385895,-1.3897589059442315,0.09442266054473071,0.3852284176602299,-0.00419125659391284,1500.0,1500.0
1750848845.869047,290638.8461242948,4117884.3751353864,-1.3025582554193893,0.09597678355224706,0.2851291176512905,-0.010453792291699567,290638.853824224,4117884.371796587,-1.3906433931940976,0.09597678355224706,0.3062174238820369,-0.010348358191549778,1500.0,1500.0
1750848845.968318,290638.88058725075,4117884.373169269,-1.3037495427849342,0.09401731246610191,0.2852292575811688,-0.012461307494876964,290638.89849129214,4117884.3817878067,-1.3913128233081635,0.09401731246610191,0.2697766088657414,-0.012511107139289379,1500.0,1500.0
1750848846.0679722,290638.9114714248,4117884.3667943575,-1.3044119974589363,0.09685855537332254,0.28036952971741563,-0.005704308254832702,290638.9156952071,4117884.3591533527,-1.3919529084745614,0.09685855537332254,0.3352322002259681,-0.005623059347271919,1500.0,1500.0
1750848846.1706028,290638.94293691346,4117884.3588704215,-1.305254907522942,0.10136050103757678,0.27651071324230775,-0.007720743417348429,290638.9509316756,4117884.347173122,-1.392471625811905,0.10136050103757678,0.2672152683679501,-0.007649645674973726,1500.0,1500.0
1750848846.2686443,290638.97502345906,4117884.354553318,-1.305758957782897,0.10101897254382937,0.2746170869797337,-0.005688210185533034,290638.98672057304,4117884.357385344,-1.3928666088717676,0.10101897254382937,0.2900673884948456,-0.005739138927310705,1500.0,1500.0
1750848846.3715274,290639.009455206,4117884.3459932557,-1.3064128314966723,0.10642990894750964,0.2747690175660828,-0.006708719764509061,290639.0305589983,4117884.334087888,-1.3931870244523266,0.10642990894750964,0.3384553257521653,-0.0067023709416389465,1500.0,1500.0
